SKU,Model,In_transit,Total_preorders,Stock,RSP,ETA_Almaty
4513812,Аккум. Перфоратор SDS-Plus Einhell TE-HD 18 Li-Solo (4513812),0,0,41,47600,
4431166,Аккум. Углошлифмашина Einhell TE-AG 18/115-2 Li - Solo (4431166),0,0,0,39900,
4465170,Аккум. Реноватор Einhell TC-MG 18 Li-Solo (4465170),0,50,30,29900,
4513925,Аккум. Шуруповерт Einhell TE-CD 18/40 Li-Solo (4513925),0,52,22,27200,
4514255,"Аккум. Шуруповерт Einhell TC-CD 18/35-2 Li (1x1,5 Ah) (4514255)",0,0,0,39900,
4514231,"Аккум. Шуруповерт Einhell TE-CD 18/2 Li (2x2,0 Ah) (4514231)",0,0,0,53200,
4513939,"Аккум. Шуруповерт Einhell TE-CD 18/40-1 Li (2x1,5 Ah) (4513939)",0,0,190,54900,
4513942,Аккум. Ударный Шуруповерт Einhell TP-CD 18/50 Li-i BL-Solo (4513942),0,0,118,47600,
4510034,Аккум. Винтоверт Einhell TE-CI 18/1 Li-Solo (4510034),0,50,47,37400,
4331220,Аккум. Циркулярная пила Einhell TE-CS 18/150 Li - Solo (4331220),-1,0,19,45400,
4321209,Аккум. Лобзик Einhell TC-JS 18 Li - Solo (4321209),-15,50,45,29200,
4326300,Аккум. Сабельная пила Einhell TE-AP 18/22 Li-Solo (4326300),0,54,9,39900,
4460725,Аккум. Виброшлифмашина Einhell TC-OS 18/187 Li Solo (4460725),0,56,9,29900,
4430971,Сетев. Углошлифмашина Einhell TC-AG 125/850 (4430971),-50,0,76,20800,
4430977,Сетев. Углошлифмашина Einhell TC-AG 125/850 Kit (4430977),0,0,8,39000,
4257238,Комплект инструментов (Шуруповерт + Угловая шлифмашина) Einhell TC-TK 18 Li Kit (4257238),0,0,0,95200,
4257242,Комплект инструментов (Шуруповерт + Угловая шлифмашина + Перфоратор) Einhell TE-TK 18/3 Li +2 (CD+AG+HD) (4257242),0,0,0,170000,
4300890,Аккум. Торцовочная пила Einhell TE-MS 18/210 Li-Solo (4300890),0,0,19,99000,
4340450,Аккум. Настольная пила Einhell TE-TS 36/210 Li-Solo (4340450),0,0,9,156400,
4020415,Аккум. Компрессор Einhell TE-AC 36/150 Li OF-Solo (4020415),0,0,1,119000,
4257990,Сетев. Перфоратор SDS-Plus Einhell TC-RH 620 4F (4257990),0,60,76,45900,
4258237,Сетев. Перфоратор SDS-Plus Einhell TC-RH 900 (4258237),-1,0,48,54300,
4258508,Сетев. Перфоратор SDS-Plus Einhell TE-RH 32-1600 4F (4258508),30,50,0,68200,16.12.2025
4259848,Сетев. Ударная дрель Einhell TC-ID 720/1 E (4259848),0,50,20,31100,
4258621,Сетев. Ударная дрель Einhell TC-ID 550 E (4258621),0,0,56,23300,
4465155,Сетев. Реноватор Einhell TE-MG 350 EQ (4465155),0,54,46,54400,
4350474,Сетев. Фрезер Einhell TC-RO 1155 Kit (4350474),0,0,0,54400,
4331040,Сетев. Циркулярная пила Einhell TC-CS 1250 (4331040),0,0,78,40800,
4321157,Сетев. Лобзик Einhell TC-JS 80/1 Kit (4321157),0,0,32,34000,
4321135,Сетев. Лобзик Einhell TC-JS 60/1 (4321135),0,0,142,19900,
4326161,Сетев. Сабельная пила Einhell TC-AP 690 E (4326161),0,0,0,27200,
4326170,Сетев. Сабельная пила Einhell TE-AP 750 E (4326170),0,54,0,37400,
4419169,Сетев. Гравер Einhell TC-MG 135 E (4419169),0,0,21,29800,
4300390,Сетев. Торцовочная пила Einhell TC-SM 2131/2 Dual (4300390),0,50,0,99000,
4340510,Сетев. Настольная пила Einhell TC-TS 254 U (4340510),0,0,28,108800,
4007325,Сетев. Компрессор Einhell TC-AC 190/24/8 (4007325),0,0,0,81600,
4007332,Сетев. Компрессор Einhell TC-AC 190/50/8 (4007332),-10,0,3,99000,
2342167,Сетев. Пылесос Einhell TC-VC 1820 S (2342167),0,0,0,32600,
4511489,"Аккумулятор Einhell 2x18V 4,0Ah PXC-Twinpack CB 1 (4511489)",0,56,92,39000,
4512097,"Зарядное устройство в комплекте Einhell 18V 2,5Ah PXC Starter Kit (4512097)",-339,300,155,12900,
4512042,"Зарядное устройство в комплекте Einhell 18V 4,0Ah PXC Starter Kit 1 (4512042)",364,492,193,23400,16.12.2025
4512114,"Зарядное устройство в комплекте Einhell 5,2Ah & 4A Fastcharger (4512114)",0,0,151,45500,
4512112,"Зарядное устройство в комплекте Einhell 2x 4,0Ah & Twincharger Kit 1 (4512112)",66,240,47,65000,16.12.2025
4512143,Зарядное устройство в комплекте Einhell 18V 4-6Ah & 6A Boostcharger (4512143),0,0,232,65000,
4513900,Аккум. Перфоратор SDS-Plus Einhell HEROCCO 18/20 - Solo (4513900),0,52,94,82900,
4513950,Аккум. Перфоратор SDS-Plus Einhell HEROCCO 36/28 - Solo (4513950),-30,0,0,183600,
4513970,Аккум. Перфоратор SDS-Plus Einhell TE-HD 18/12 Li - Solo (4513970),0,0,12,67900,
4513983,Аккум. Перфоратор SDS-Plus Einhell TP-HD 36/30 Li BL +4 - Solo (4513983),0,51,0,204000,
4514260,Аккум. Перфоратор SDS-Plus Einhell TE-HD 18/20 Li - Solo (4514260),0,0,46,88400,
4514265,Аккум. Перфоратор SDS-Plus Einhell TP-HD 18/26 Li BL - Solo (4514265),0,88,45,118200,
4514270,Аккум. Перфоратор SDS-Plus Einhell TP-HD 18/26 D Li BL - Solo (4514270),-30,0,63,118200,
4513960,Аккум. Ударная дрель Einhell TE-ID 18 Li - Solo (4513960),0,0,31,39000,
4258760,Аккум. Строительный миксер Einhell TE-MX 18 Li - Solo (4258760),0,0,9,79000,
4258770,Аккум. Строительный миксер Einhell TP-MX 18-2 Li BL - Solo (4258770),0,0,12,115600,
4431110,Аккум. Углошлифмашина Einhell TE-AG 18/115 Li-Solo (4431110),-50,0,0,44200,
4431130,Аккум. Углошлифмашина Einhell TC-AG 18/115 Li-Solo (4431130),-50,0,0,39000,
4431140,Аккум. Углошлифмашина Einhell AXXIO 18/125 - Solo (4431140),0,52,133,60200,
4431144,Аккум. Углошлифмашина Einhell AXXIO 18/150 - Solo (4431144),-2,0,46,88400,
4431150,Аккум. Углошлифмашина Einhell AXXIO 18/115 Q - Solo (4431150),0,0,0,68000,
4431151,Аккум. Углошлифмашина Einhell AXXIO 18/125 Q - Solo (4431151),0,0,0,81600,
4431154,Аккум. Углошлифмашина Einhell AXXIO 18/115 - Solo (4431154),0,0,0,61200,
