SKU,Qty
100100,1
100200,1
1002245,1
1002265,1
100300,1
100400,1
100500,1
100715,1
100730,1
100820,1
100900,0
105000,1
105210,1
1091521,0
116210,1
118100,1
118410,1
119390,1
120940,1
12100,1
142400,1
143100,1
143200,1
14910,1
14920,1
149500,1
16620,2
2030365,0
20310,1
2070110,1
2093264,0
2093275,1
2093320,1
2260112,2
2260160,1
2333120,1
2340290,1
2342167,0
2342370,1
2342460,1
2342475,1
2347120,1
2347130,1
2347140,1
2347160,1
2347180,2
2347190,1
2351113,1
2351132,1
2351152,2
2351170,2
2351700,1
2352040,1
23730,1
258635,2
258648,2
258655,2
258675,2
258685,2
29100,1
29110,1
29120,1
300000,5
300001,4
300002,5
300003,5
300004,5
300005,5
300006,4
300007,5
300008,5
300009,5
304515,1
304615,1
3400257,0
3402022,0
3404553,1
3405075,1
3405685,1
3405730,0
3405736,1
3408001,0
3408017,0
3408035,1
3408300,1
3408310,1
3410310,1
3410365,1
3410382,1
3410502,1
3410506,0
3410581,1
3410642,1
3410920,1
3410930,2
3410940,1
3410960,1
3411172,1
3411197,1
3411212,1
3411320,1
3411340,1
3413054,1
3413155,1
3413172,1
3413226,1
3413246,1
3413256,0
3413266,1
3413275,1
3414114,1
3415410,1
3420604,1
3420660,1
3424050,0
3424051,1
3425220,1
3425240,1
3430330,0
3430635,1
3431060,1
3433532,1
3433542,1
3433555,1
3433600,1
3433630,0
3437100,1
3437110,1
367850,1
4010393,1
4020430,1
4020440,1
4020660,0
402200,1
4132741,1
4138550,1
4138965,1
4139087,1
4139130,1
4139180,1
4140135,1
4140740,1
4140760,1
4170682,1
4170773,0
4170964,1
4173490,0
4176730,1
4180280,1
4180283,1
4180350,1
4180400,1
4181500,1
421105,2
421106,2
4257785,1
4257790,1
4257880,0
4257890,1
4257935,1
4257944,0
4257978,0
4257980,0
4257990,1
4258237,1
4258508,1
4258545,1
4258621,1
4258682,0
4258760,0
4258770,1
4259940,1
4259955,1
4259960,1
4259980,0
4259990,1
4260005,0
4260010,0
4260020,1
4260025,1
4261010,1
4300295,0
4300370,1
4300850,0
4300870,1
4300880,1
4300890,1
4301190,1
4310614,1
4312110,1
4321135,1
4321209,1
4321260,1
4321265,1
4326180,1
4326300,0
4326310,1
4326315,1
4331050,1
4331100,1
4331220,1
4331225,1
4340425,1
4340430,1
4340510,1
4340539,1
4340556,1
4345310,0
4345405,1
4350410,1
4350470,0
4350630,1
4350640,1
4350730,0
4350740,0
4418008,1
4419169,1
4419330,1
4419360,1
4419955,1
443005,1
443006,1
443010,1
4430840,0
4430860,1
4430880,1
4430890,1
4430977,1
4431140,1
4431144,1
4431160,1
4431175,1
444300,1
4460560,0
4460640,0
4460708,1
4460720,0
4460725,2
4461000,0
4462000,0
4462010,1
4462020,1
4465160,0
4465170,2
4465190,1
4465195,1
4466245,1
4466260,0
4466270,1
4499940,1
4500067,1
4500071,1
4500076,1
4500480,1
4501760,0
4501780,0
4502118,1
4503139,1
4504216,1
4510034,1
4510040,1
4510070,1
4510085,1
4510151,1
4511437,2
4511489,0
4511600,1
4511627,1
4511629,1
4512042,2
4512097,13
4512102,1
4512103,1
4512112,1
4512114,1
4512143,2
4512155,1
4513442,0
4513660,2
4513812,1
4513830,0
4513846,2
4513896,1
4513900,1
4513935,1
4513939,1
4513942,0
4513957,1
4513960,1
4513990,0
4513992,0
4513995,1
4514114,0
4514115,1
4514120,35
4514130,1
4514145,0
4514148,1
4514150,1
4514155,6
4514160,1
4514172,1
4514205,1
4514220,1
4514260,0
4514265,1
4514270,1
4514290,1
4514305,1
4514320,1
4520500,1
4522190,0
4522200,0
4522250,1
4530054,2
4530074,10
4530078,1
4540011,4
4540012,1
4540013,0
4540014,3
4540015,1
4540019,3
4540021,3
4540036,1
4540040,1
4600010,0
4600040,1
4609990,1
4609991,0
485420,0
493900,2
494100,2
494300,1
49455250,1
494600,1
494800,1
49491005,1
49491006,1
49491066,1
49491075,1
49492074,1
49492874,1
49568315,0
49587861,1
49589341,1
49589351,1
49708750,0
49758941,1
49910805,1
49914605,1
511477,2
511900,1
511903,2
511904,2
511909,2
513103,1
513104,1
513106,1
52650,0
52800,2
530208,0
530300,1
557900,2
599600,1
603230,2
605030,1
61400,1
62500,1
65710,2
65800,4
664620,0
664630,1
669215,1
67250,1
67430,1
689603,9
689604,3
689715,1
700540,1
705015,1
706415,1
706445,1
706460,1
706510,0
706522,0
706540,0
708801,0
757800,1
757900,1
758100,1
758300,1
778400,1
779600,1
784208,2
784300,1
784400,1
784500,2
784600,1
784800,1
784900,1
89510,0
92090,1
92100,1
922910,1
92300,1
92400,1
928420,2
929300,1
