SKU,Qty
1002215,5
1002225,17
1002245,5
1002275,5
110182,20
110184,20
2048304,20
2070110,24
2071010,10
2270109,30
2342475,5
2347120,20
2347190,20
2351113,16
2351126,27
2351150,50
2351180,30
2351195,30
2351216,20
2352040,10
3400080,48
3403370,10
3403460,10
3408001,12
3408035,12
3410313,10
3410920,10
3410960,2
3413226,7
3413246,2
3433550,24
3433620,30
3437000,10
3437101,16
4007325,5
4007360,20
4010393,20
4020430,9
4020460,4
4020590,10
4020610,10
4020660,10
4132720,10
4132900,10
4138965,32
4139099,22
4139100,10
4139130,20
4173773,10
4250690,4
4250715,2
4257790,32
4257880,12
4257890,30
4257935,50
4257940,44
4257978,52
4257980,28
4257990,128
4257992,48
4258237,50
4258478,30
4258508,80
4258545,30
4258555,30
4258561,30
4258565,20
4258682,20
4258760,10
4259848,30
4259930,70
4259945,5
4259960,30
4260025,20
4260040,20
4300295,5
4300370,5
4300380,20
4300890,20
4301185,5
4308018,5
4308055,4
4309040,3
4321135,15
4321140,18
4321200,50
4321209,50
4321260,50
4321270,50
4326180,72
4326310,28
4331005,30
4331050,20
4331210,20
4331220,20
4331300,60
4340450,10
4340510,30
4345310,24
4345400,12
4345405,28
4350630,9
4350640,12
4350740,20
4350800,14
4412559,32
4412632,25
4418008,20
4419360,24
4419925,14
4430619,50
4430860,50
4430870,20
4430880,50
4430971,24
4431140,200
4431144,48
4431155,100
4431160,30
4432000,30
4460730,12
4461000,58
4462005,20
4462020,56
4465155,58
4465190,48
4466154,20
4466245,20
4466260,22
4499924,16
4499940,32
4500163,30
4500174,30
4500191,20
4500192,30
4500196,30
4500197,18
4501753,30
4501754,30
4503139,20
4504215,10
4504216,10
4510034,50
4510070,48
4510080,48
4510085,48
4510151,10
4510170,10
4511489,96
4511618,36
4511627,36
4512042,504
4512097,276
4512102,16
4512112,168
4512113,18
4512114,60
4513887,170
4513900,100
4513942,100
4513960,32
4513970,30
4513990,50
4513997,146
4514115,36
4514148,60
4514172,44
4514175,32
4514180,24
4514210,100
4514260,48
4514270,66
4514290,50
4514300,150
4514305,100
4514310,100
4514315,52
4514320,88
4520179,10
4520195,32
4520500,32
4522200,25
4522250,25
4540011,24
4540014,24
4540015,25
4540019,25
4540020,25
4540021,25
49081505,10
