SKU,Qty
100100,20
100200,20
1002215,0
1002225,22
1002245,10
1002265,10
1002275,0
100300,20
100400,24
100500,20
100715,24
100730,24
100820,20
100900,100
105000,20
105110,20
105210,20
108709,5
108743,5
108753,5
108759,5
108763,5
108773,5
108953,5
109053,4
1091511,10
1091521,20
11620,20
116210,24
118100,102
118410,102
118683,5
118693,5
11890,24
118903,5
118973,5
119390,18
120940,100
12100,24
142400,24
143100,24
143200,24
14910,21
14920,21
149500,102
16620,24
175440,20
20300,20
2030365,104
20310,20
2048304,10
2070110,26
2071010,12
2093173,26
2093264,45
2093275,25
2093320,20
2250110,2
2255130,10
2255140,10
2255150,10
2255160,10
2260112,52
2260140,10
2260150,10
2260160,24
2260170,10
2270075,50
2270080,50
2270109,0
2332330,1
2332351,1
2333110,6
2333120,6
2340290,20
2342167,280
2342230,5
2342370,25
2342425,5
2342430,5
2342460,125
2342470,50
2342475,58
2342490,20
2347120,99
2347130,15
2347140,10
2347160,25
2347180,82
2347190,32
2351113,28
2351132,35
2351150,5
2351152,409
2351165,13
2351170,263
2351185,15
2351190,25
2351661,23
2351666,12
2351700,12
2352040,25
23730,20
242138,10
242140,10
242640,10
247210,25
247302,25
247304,20
248920,10
25410,24
258610,100
258615,100
258620,100
258625,100
258630,100
258632,100
258633,100
258635,100
258640,100
258642,100
258645,100
258648,100
258650,100
258655,100
258660,100
258665,100
258668,100
258670,160
258675,160
258680,160
258685,160
258690,160
258700,160
258710,120
258720,120
258730,120
258819,20
260008,10
260208,10
260210,10
29100,12
29110,12
29120,12
292500,20
292600,20
300000,5
300001,4
300002,5
300003,5
300004,5
300005,5
300006,4
300007,5
300008,5
300009,5
304514,24
304515,24
304517,24
304615,24
314426,20
3400080,72
3400160,60
3400257,529
3402022,84
3402040,30
3403320,23
3403330,16
3403340,24
3403370,0
3403460,10
3404333,3
3404553,240
3404833,2
3404860,3
3405075,172
3405451,10
3405485,10
3405685,10
3405695,10
3405730,502
3405736,200
3405930,30
3408001,30
3408017,20
3408035,39
3408300,42
3408310,24
3410310,11
3410313,20
3410365,44
3410382,24
3410502,25
3410506,32
3410581,10
3410642,33
3410800,10
3410805,27
3410810,10
3410866,25
3410901,10
3410920,50
3410930,24
3410940,36
3410960,8
3411172,300
3411197,217
3411212,37
3411310,18
3411320,28
3411340,51
3413054,11
3413155,306
3413172,10
3413200,50
3413226,13
3413230,20
3413246,20
3413256,10
3413266,11
3413275,12
3414114,305
3414129,50
3415410,23
3420561,10
3420590,10
3420604,10
3420630,10
3420640,10
3420660,20
3420690,20
3424050,32
3424051,33
3424200,10
3424300,10
3425220,36
3425240,35
3430330,27
3430400,15
3430620,10
3430635,16
3431050,10
3431060,10
3433320,10
3433370,64
3433532,11
3433542,32
3433555,42
3433600,10
3433620,10
3433630,10
3436555,3
3437000,10
3437010,10
3437100,115
3437110,25
367850,24
4007325,0
4007332,50
4007360,5
4010393,2
4010495,57
401310,24
4020410,6
4020415,14
4020430,9
4020440,12
4020460,7
4020467,26
4020577,10
4020600,4
4020610,5
4020620,5
4020655,5
4020660,20
402200,20
4132720,0
4132741,35
4132776,10
4132900,0
4133330,10
4137790,30
4138550,30
4138965,8
4139087,87
4139099,47
4139100,45
4139130,60
4139180,10
4140135,55
4140740,103
4140750,20
4140760,121
4152535,8
4152551,13
4152600,5
4170445,7
4170682,112
4170773,30
4170944,10
4170955,10
4170964,10
4173193,10
4173490,20
4173771,10
4176730,10
4177010,10
4177020,10
4180280,10
4180283,22
4180350,10
4180400,22
4180440,21
4181500,13
4181530,10
421102,100
421103,100
421104,100
421105,100
421106,100
4250715,10
4257785,45
4257790,12
4257795,24
4257880,23
4257890,35
4257935,10
4257940,22
4257944,71
4257959,60
4257978,52
4257980,169
4257990,56
4258002,26
4258237,157
4258478,50
4258508,94
4258545,10
4258550,65
4258555,25
4258561,21
4258621,188
4258682,135
4258760,32
4258770,36
4259844,60
4259848,86
4259930,53
4259940,15
4259945,15
4259951,10
4259955,66
4259960,42
4259980,45
4259990,12
4260005,45
4260010,37
4260015,24
4260020,66
4260025,12
4261010,52
4300295,124
4300370,123
4300380,31
4300385,20
4300395,22
4300805,24
4300850,35
4300860,10
4300866,60
4300870,35
4300877,25
4300880,12
4300890,23
4301185,10
4301190,20
4301220,10
4301295,10
4308018,5
4308035,5
4308055,10
4309040,12
4309047,9
4310614,20
4310615,5
4310620,2
4312110,70
4321135,381
4321140,24
4321145,43
4321157,55
4321160,20
4321200,55
4321209,67
4321228,22
4321260,45
4321265,10
4326161,40
4326180,49
4326290,23
4326300,113
4326310,39
4326315,66
4331005,57
4331030,5
4331040,184
4331050,53
4331100,12
4331207,31
4331210,24
4331220,52
4331225,100
4331300,5
4340415,30
4340425,25
4340430,25
4340450,13
4340510,35
4340515,60
4340539,20
4340556,25
4345310,17
4345320,15
4345325,12
4345400,38
4345405,24
4350410,64
4350411,27
4350412,45
4350470,33
4350490,36
4350630,12
4350640,24
4350730,71
4350735,51
4350736,30
4350740,41
4412559,20
4412632,20
4412633,20
4418008,20
4419169,108
4419257,2
4419330,41
4419360,37
4419380,100
4419955,10
44300,11
443003,21
443004,21
443005,21
443006,21
443008,21
443010,21
443012,20
4430619,82
4430840,50
4430860,100
4430870,70
4430880,29
4430885,130
4430890,156
4430971,234
4430977,147
4430985,20
4431051,13
4431110,50
4431130,50
4431140,64
4431144,36
4431151,12
4431160,42
4431175,60
444300,20
4460560,68
4460620,10
4460640,22
4460708,21
4460720,18
4460725,45
4461000,12
4462000,29
4462005,4
4462010,31
4462020,16
4464235,5
4464255,20
4465150,10
4465155,26
4465160,32
4465170,104
4465185,27
4465190,32
4465195,18
4466154,83
4466230,15
4466245,24
4466260,25
4466270,24
447206,10
4499910,8
4499924,8
4499940,16
4500067,13
4500071,10
4500076,10
4500480,12
4501290,10
4501710,20
4501760,32
4501761,12
4501780,40
4502118,58
4503139,11
4504215,10
4504216,18
4510030,48
4510034,108
4510040,88
4510070,98
4510080,74
4510085,32
4510151,6
4511395,50
4511396,50
4511437,148
4511489,464
4511501,66
4511502,66
4511526,38
4511553,20
4511600,34
4511618,38
4511627,76
4511629,111
4512042,917
4512064,22
4512069,22
4512097,1448
4512102,22
4512103,187
4512112,226
4512113,18
4512114,317
4512143,353
4512155,24
4512159,187
4513442,467
4513495,50
4513592,50
4513595,100
4513660,104
4513812,130
4513830,58
4513846,59
4513850,50
4513860,55
4513861,40
4513887,95
4513896,80
4513900,82
4513914,104
4513925,157
4513926,50
4513927,67
4513935,27
4513939,595
4513940,59
4513942,135
4513948,50
4513950,30
4513957,61
4513960,35
4513970,45
4513990,67
4513992,69
4513995,100
4513997,75
4514114,26
4514115,29
4514120,272
4514130,85
4514145,20
4514148,60
4514150,96
4514155,144
4514160,12
4514172,21
4514175,16
4514205,173
4514210,69
4514220,309
4514260,27
4514265,76
4514270,12
4514290,45
4514300,50
4514305,50
4514320,56
4520179,90
4520184,0
4520195,82
4520500,53
4520592,62
4520597,65
4522170,105
4522190,41
4522200,40
4522250,40
4530037,30
4530054,27
4530074,325
4530078,48
4540011,105
4540012,26
4540013,12
4540014,54
4540015,10
4540019,23
4540020,22
4540021,20
4540036,16
4540040,28
4600010,30
4600020,10
4600040,42
4609990,24
4609991,48
485410,20
485420,20
49108801,40
49108806,20
49108911,20
491508,80
491512,100
491522,100
493900,108
494100,54
494300,24
494500,24
49455250,29
494600,24
494700,24
494800,24
494900,24
49491005,73
49491006,106
49491065,73
49491066,83
49491075,91
49492074,113
49492874,129
49497635,10
49497795,10
495000,24
495500,24
49568315,432
49587861,59
49589306,20
49589341,69
49589351,69
49708750,12
49708850,10
49708950,20
49757291,60
49758941,62
49910805,32
49914605,96
500210,5
500220,5
500310,5
500312,5
500400,5
510000,6
510900,20
511472,100
511473,100
511474,100
511475,100
