SKU,Qty
100100,3
100200,5
1002225,6
1002265,2
100300,3
100400,4
100500,4
100715,4
100730,3
100820,3
100900,5
105000,3
105110,3
105210,4
108709,2
108743,3
108753,3
108759,2
108763,3
108773,3
108953,3
109053,2
1091521,1
11620,3
116210,4
118100,5
118410,5
118683,3
118693,1
11890,3
118903,3
118973,3
119390,3
120940,3
12100,3
142400,3
143100,3
143200,4
14910,3
14920,3
149500,3
16620,13
175440,3
20300,3
2030365,1
20310,3
2071010,6
2093264,21
2093275,1
2093320,1
2255130,10
2255140,10
2255150,10
2255160,10
2260112,7
2260140,10
2260150,10
2260160,11
2260170,10
2270075,50
2270080,50
2342167,33
2342230,5
2342370,5
2342425,5
2342430,1
2342460,9
2342470,3
2342475,6
2342490,1
2347120,7
2347160,3
2347180,4
2347190,2
2351113,1
2351152,4
2351170,1
2351185,3
2351190,5
2351661,1
2351700,1
2352040,2
23730,3
242138,5
242140,8
242640,8
247210,3
247302,4
247304,3
248920,3
25410,3
258610,3
258615,3
258620,3
258625,3
258630,3
258632,3
258633,3
258635,3
258640,4
258642,3
258645,3
258648,3
258650,3
258655,3
258660,3
258665,3
258668,3
258670,3
258675,3
258680,3
258685,3
258690,3
258700,3
258710,3
258720,3
258730,3
258819,5
260008,5
260208,5
260210,3
29100,11
29110,11
29120,11
292500,3
292600,3
304514,3
304515,3
304517,3
304615,3
314426,4
3400080,72
3400160,60
3400257,132
3402022,30
3402040,21
3403320,10
3403330,2
3403340,1
3403460,1
3405075,0
3405685,0
3405695,0
3405730,5
3405736,2
3405930,13
3408001,10
3408035,5
3408300,2
3408310,11
3410313,4
3410365,18
3410382,3
3410502,3
3410506,12
3410642,10
3410805,6
3410866,3
3410920,6
3410930,3
3410940,5
3410960,5
3411172,28
3411197,36
3411212,4
3411310,1
3411320,1
3411340,0
3413155,24
3413200,1
3413226,3
3413230,7
3413246,10
3414114,18
3415410,3
3420561,2
3420630,1
3420660,1
3420690,2
3424050,1
3424051,4
3425220,2
3425240,1
3430330,7
3430400,3
3430635,3
3431050,5
3431060,3
3433370,19
3433542,11
3433555,8
3433600,2
3437000,10
3437010,10
3437100,2
3437110,1
367850,4
4007332,10
4007360,5
4010495,7
401310,3
4020415,6
4020430,7
4020440,1
4020460,5
4020467,2
4020577,10
4020600,1
4020610,1
4020620,5
4020655,5
4020660,10
402200,3
4132741,12
4132776,10
4133330,10
4137790,21
4138550,1
4138965,1
4139087,31
4139099,19
4139100,31
4139130,31
4139180,1
4140135,3
4140740,5
4140750,1
4140760,10
4152551,1
4152600,2
4170682,6
4170773,1
4173771,3
4180283,1
4180400,1
4180440,1
421102,3
421103,3
421104,4
421105,3
421106,3
4250715,1
4257785,1
4257795,11
4257890,10
4257935,1
4257940,7
4257944,3
4257959,51
4257978,1
4257980,101
4257990,12
4258002,1
4258237,3
4258478,1
4258508,22
4258550,32
4258561,11
4258621,20
4258682,36
4258760,1
4258770,1
4259844,36
4259848,51
4259930,1
4259940,2
4259945,1
4259951,10
4259955,1
4259980,30
4259990,2
4260005,6
4260010,3
4260015,3
4260020,1
4261010,1
4300295,9
4300370,2
4300380,2
4300385,2
4300395,1
4300805,1
4300850,5
4300866,1
4300870,1
4300877,2
4300880,1
4300890,5
4301185,1
4301190,10
4301220,6
4301295,1
4308035,1
4308055,6
4309040,3
4309047,6
4310614,1
4310620,2
4312110,2
4321135,7
4321140,1
4321145,32
4321157,1
4321160,15
4321200,3
4321209,23
4321260,17
4326180,4
4326290,5
4326300,10
4326310,7
4326315,1
4331005,7
4331030,5
4331040,28
4331050,1
4331100,2
4331207,2
4331210,1
4331220,6
4331225,1
4340425,13
4340430,5
4340510,7
4340515,3
4340556,5
4345310,1
4345320,10
4345325,1
4345400,5
4345405,1
4350410,4
4350411,5
4350412,6
4350470,13
4350490,3
4350630,2
4350640,2
4350730,1
4350735,11
4350736,30
4350740,10
4412559,2
4412632,1
4412633,5
4418008,2
4419169,11
4419330,1
4419360,2
4419380,1
4419955,2
44300,4
443003,3
443004,3
443005,3
443006,3
443008,3
443010,3
443012,3
4430619,2
4430840,1
4430860,7
4430870,53
4430880,2
4430885,1
4430890,58
4430971,67
4430977,2
4430985,2
4431110,50
4431130,50
4431140,11
4431144,5
4431151,3
4431160,4
4431175,4
444300,3
4460560,5
4460620,10
4460640,1
4460708,1
4460725,1
4461000,1
4462000,2
4462005,1
4462010,1
4462020,3
4464255,1
4465150,10
4465155,2
4465160,10
4465170,1
4465185,2
4465190,5
4465195,5
4466154,10
4466230,10
4466245,1
4466260,1
447206,3
4499910,1
4499924,1
4499940,1
4500067,0
4500480,1
4501290,10
4501760,1
4501761,2
4501780,9
4502118,1
4504215,1
4504216,1
4510030,31
4510034,42
4510040,54
4510070,12
4510080,23
4510151,1
4511437,1
4511489,61
4511501,2
4511502,1
4511526,1
4511600,5
4511618,4
4511627,7
4511629,2
4512042,243
4512064,1
4512069,2
4512097,309
4512102,4
4512103,4
4512112,65
4512114,6
4512143,6
4512155,1
4512159,1
4513442,25
4513495,50
4513592,50
4513595,100
4513660,59
4513812,11
4513830,2
4513846,5
4513860,50
4513887,54
4513900,9
4513914,2
4513925,22
4513926,50
4513927,62
4513935,1
4513939,117
4513940,5
4513942,15
4513950,30
4513960,7
4513970,3
4513990,1
4513992,1
4513995,4
4513997,2
4514114,2
4514115,5
4514120,2
4514130,8
4514145,1
4514155,1
4514160,1
4514172,2
4514175,4
4514205,4
4514210,3
4514220,6
4514260,3
4514265,3
4514270,2
4514290,5
4514300,42
4514305,3
4514320,4
4520179,54
4520195,52
4520500,4
4520592,1
4520597,6
4522170,3
4522250,11
4530074,4
4530078,1
4540011,6
4540012,1
4540014,7
4540015,1
4540019,1
4540020,4
4540021,3
4540036,1
4600010,4
4600040,14
4609990,2
4609991,2
485410,3
485420,3
49108911,6
491508,3
491512,3
491522,3
493900,4
494100,3
494300,3
494500,3
49455250,1
494600,3
494700,3
494800,3
494900,3
49491005,1
49491006,1
49491065,1
49491066,1
49491075,1
49492074,1
49492874,1
49497635,10
49497795,10
495000,3
495500,3
49589306,1
49708850,10
49708950,12
49757291,4
500210,3
500220,4
500310,3
500312,3
500400,3
510000,4
510900,3
511472,4
511473,3
511474,3
511475,3
511476,3
511477,3
511900,3
511903,3
511904,4
511905,3
511906,3
511907,3
511908,3
511909,3
511910,3
512004,3
512005,3
512450,3
513103,3
513104,3
513105,3
513106,4
513903,3
513904,4
513905,3
513906,3
51600,3
524010,3
525000,4
525100,3
525200,3
525820,3
525830,4
52630,3
52640,4
52650,3
52660,3
52680,3
52700,3
52800,4
530208,3
530300,3
557000,3
557100,3
557500,3
557800,3
557900,3
576090,5
598035,4
598038,3
598210,3
598220,3
598250,3
598290,3
598900,3
599300,3
599400,3
599500,3
599600,3
603230,3
603330,3
605030,3
61400,3
62500,3
626260,4
626265,6
65710,3
65800,3
664620,4
664630,3
669215,3
669220,3
669225,4
67250,3
67300,3
67430,3
67450,4
689603,3
689604,3
689605,3
689606,3
689608,3
689610,3
689710,3
689715,3
689720,3
689725,3
700340,3
700540,3
700840,3
704240,3
704340,3
704440,3
704540,3
705015,3
705530,3
705930,3
706300,3
706400,4
706415,3
706416,3
706418,3
706422,3
706425,3
706430,4
706435,3
706440,3
706445,3
706450,3
706455,3
706460,3
706510,3
706512,3
706515,3
706516,3
706518,3
706520,3
706522,3
706525,3
706530,4
706535,3
706540,3
706545,3
706550,3
706900,3
708000,3
708801,3
712022,6
723540,3
726010,8
757295,3
757800,3
757900,3
757910,3
758100,3
758300,3
758600,3
777800,3
778200,3
778400,3
778500,3
779600,3
783500,3
783908,3
784208,3
784210,3
784212,3
784300,3
784400,3
784500,3
784600,3
784800,3
784900,3
789540,5
790540,4
795726,6
795728,8
795926,7
795930,8
89500,3
89510,3
89530,3
89560,3
89600,3
90690,3
91000,4
91700,3
92090,4
92100,3
922910,3
92300,4
92400,3
928420,3
928430,3
928440,3
928460,3
929300,3
981000,3
982340,3
