SKU,Qty
100100,6
100200,6
1002225,15
1002245,9
1002265,7
100300,6
100400,6
100500,6
100715,6
100730,6
100820,6
100900,6
105000,6
105110,6
105210,6
1091511,10
1091521,16
11620,6
116210,6
118100,6
118410,6
11890,6
119390,6
120940,6
12100,6
142400,6
143100,4
143200,6
14910,6
14920,6
149500,6
16620,6
175440,6
20300,6
2030365,47
20310,6
2048304,10
2070110,10
2071010,1
2093173,26
2093264,23
2093275,23
2093320,16
2250110,2
2260112,25
2260160,9
2340290,19
2342167,123
2342370,19
2342430,4
2342460,57
2342470,17
2342475,21
2342490,18
2347120,60
2347130,14
2347140,9
2347160,19
2347180,37
2347190,16
2351113,8
2351132,6
2351150,5
2351152,8
2351165,3
2351170,37
2351185,11
2351190,5
2351661,16
2351666,12
2351700,9
2352040,17
23730,6
247210,6
247302,6
247304,6
248920,4
25410,6
258610,6
258615,6
258620,6
258625,6
258630,6
258632,6
258633,6
258635,6
258640,6
258642,6
258645,6
258648,6
258650,6
258655,6
258660,6
258665,6
258668,6
258670,6
258675,6
258680,6
258685,6
258690,6
258700,6
258710,6
258720,6
258730,6
258819,6
260210,4
292500,4
292600,4
304514,6
304515,6
304517,6
304615,6
314426,6
3400257,57
3402022,22
3402040,8
3403320,12
3403330,12
3403340,20
3403460,8
3404333,3
3404553,120
3404833,2
3404860,3
3405075,5
3405451,5
3405485,5
3405685,5
3405695,5
3405730,100
3405736,7
3405930,5
3408001,19
3408017,10
3408035,13
3408300,23
3408310,12
3410310,7
3410313,14
3410365,16
3410382,15
3410502,12
3410506,10
3410581,5
3410642,8
3410800,10
3410805,10
3410810,10
3410866,14
3410901,10
3410920,28
3410930,12
3410940,20
3410960,2
3411172,81
3411197,95
3411212,3
3411310,14
3411320,19
3411340,12
3413054,8
3413155,71
3413172,9
3413200,45
3413226,9
3413230,6
3413246,2
3413256,9
3413266,3
3413275,6
3414114,59
3414129,50
3415410,9
3420561,7
3420590,10
3420604,7
3420630,7
3420640,10
3420660,17
3420690,17
3424050,20
3424051,20
3424200,10
3424300,10
3425220,17
3425240,5
3430330,16
3430400,10
3430620,10
3430635,9
3431050,5
3431060,5
3433320,10
3433370,33
3433532,7
3433542,16
3433555,32
3433600,7
3433620,10
3433630,2
3436555,3
3437100,64
3437110,12
367850,6
4007332,31
4010393,1
4010495,30
401310,6
4020410,5
4020415,5
4020430,0
4020440,9
4020460,2
4020467,19
4020600,2
4020610,4
4020660,9
402200,6
4132741,13
4137790,9
4138550,18
4138965,6
4139087,32
4139099,20
4139100,13
4139130,23
4139180,8
4140135,37
4140740,23
4140750,15
4140760,33
4152535,2
4152551,5
4152600,1
4170445,7
4170682,61
4170773,27
4170944,9
4170955,9
4170964,9
4173193,10
4173490,19
4173771,2
4176730,9
4177010,10
4177020,10
4180280,9
4180283,20
4180350,9
4180400,15
4180440,10
4181500,10
4181530,10
421102,7
421103,7
421104,7
421105,7
421106,7
4250715,8
4257785,27
4257790,11
4257795,12
4257880,22
4257890,24
4257935,8
4257940,13
4257944,46
4257959,7
4257978,49
4257980,22
4257990,32
4258002,21
4258237,144
4258478,8
4258508,52
4258545,8
4258550,32
4258555,25
4258561,9
4258621,102
4258682,59
4258760,20
4258770,19
4259844,17
4259848,33
4259930,19
4259940,11
4259945,12
4259955,19
4259960,34
4259980,11
4259990,8
4260005,23
4260010,22
4260015,11
4260020,26
4260025,5
4261010,15
4300295,66
4300370,83
4300380,16
4300385,18
4300395,16
4300805,15
4300850,29
4300860,10
4300866,10
4300870,30
4300877,15
4300880,9
4300890,17
4301185,7
4301190,9
4301220,3
4301295,9
4308018,5
4308035,4
4308055,4
4309040,9
4310614,18
4312110,52
4321135,216
4321140,17
4321145,9
4321157,17
4321160,5
4321200,46
4321209,19
4321228,12
4321260,25
4321265,8
4326161,40
4326180,41
4326290,18
4326300,54
4326310,22
4326315,9
4331005,21
4331040,68
4331050,39
4331100,8
4331207,23
4331210,17
4331220,42
4331225,24
4331300,5
4340415,30
4340425,11
4340430,19
4340450,7
4340510,20
4340515,39
4340539,19
4340556,18
4345310,14
4345320,5
4345325,10
4345400,19
4345405,13
4350410,37
4350411,20
4350412,17
4350470,19
4350490,25
4350630,7
4350640,19
4350730,29
4350735,34
4350740,29
4412559,15
4412632,16
4412633,15
4418008,9
4419169,59
4419257,2
4419330,31
4419360,22
4419380,6
4419955,7
44300,4
443003,6
443004,6
443005,6
443006,6
443008,6
443010,6
443012,6
4430619,51
4430840,48
4430860,76
4430870,16
4430880,15
4430885,41
4430890,72
4430971,73
4430977,130
4430985,14
4431051,7
4431140,49
4431144,29
4431151,9
4431160,27
4431175,12
444300,6
4460560,31
4460640,13
4460708,18
4460720,16
4460725,16
4461000,5
4462000,25
4462005,2
4462010,22
4462020,10
4464235,5
4464255,17
4465155,23
4465160,20
4465170,46
4465185,9
4465190,20
4465195,11
4466154,50
4466230,5
4466245,17
4466260,11
4466270,17
447206,4
4499910,6
4499924,7
4499940,14
4500067,7
4500071,5
4500076,5
4500480,10
4501760,16
4501761,8
4501780,26
4502118,15
4503139,10
4504215,8
4504216,15
4510030,13
4510034,45
4510040,21
4510070,40
4510080,34
4510085,30
4510151,3
4511395,50
4511396,50
4511437,76
4511489,173
4511501,46
4511502,64
4511526,27
4511553,20
4511600,25
4511618,22
4511627,23
4511629,24
4512042,290
4512064,20
4512069,20
4512097,418
4512102,17
4512103,61
4512112,74
4512113,18
4512114,118
4512143,63
4512155,20
4512159,27
4513442,48
4513812,55
4513830,38
4513846,9
4513850,50
4513860,5
4513861,39
4513887,39
4513896,65
4513900,68
4513914,86
4513925,86
4513927,5
4513935,15
4513939,177
4513940,21
4513942,77
4513948,50
4513957,38
4513960,18
4513970,22
4513990,32
4513992,39
4513995,51
4513997,33
4514114,13
4514115,21
4514120,46
4514130,34
4514145,6
4514150,31
4514155,60
4514160,9
4514172,10
4514175,12
4514205,58
4514210,29
4514220,57
4514260,14
4514265,15
4514270,9
4514290,25
4514300,8
4514305,42
4514320,23
4520179,35
4520195,29
4520500,40
4520592,16
4520597,3
4522170,36
4522190,40
4522200,39
4522250,21
4530037,30
4530054,9
4530074,89
4530078,16
4540011,39
4540012,12
4540014,31
4540015,7
4540019,13
4540020,15
4540021,13
4540036,10
4540040,12
4600010,23
4600020,10
4600040,23
4609990,15
4609991,2
485410,6
485420,6
49108801,37
49108806,20
49108911,12
491508,6
491512,6
491522,6
493900,6
494100,6
494300,6
494500,6
49455250,16
494600,6
494700,6
494800,6
494900,6
49491005,43
49491006,43
49491065,37
49491066,36
49491075,42
49492074,63
49492874,56
495000,6
495500,6
49568315,38
49587861,6
49589306,6
49589341,6
49589351,6
49708750,6
49708950,8
49757291,56
49758941,9
49910805,18
49914605,68
510900,6
511472,6
511473,6
511474,6
511475,6
511476,6
511477,6
511900,4
511903,6
511904,6
511905,6
511906,6
511907,6
511908,6
511909,6
511910,6
512004,6
512005,6
512450,4
513103,6
513104,6
513105,6
513106,6
513903,7
513904,7
513905,7
513906,7
524010,6
525000,6
525100,6
525200,6
525820,6
525830,6
52630,7
52640,7
52650,7
52660,7
52680,7
52700,7
52800,6
530208,6
530300,6
557000,6
557100,6
557500,6
557800,6
557900,6
598210,6
598220,6
598250,4
598290,4
598900,4
599300,6
599400,6
599500,6
599600,6
603230,6
603330,6
605030,6
61400,6
62500,4
65710,4
65800,8
664620,6
664630,6
669215,6
669220,6
669225,6
67250,6
67300,6
67430,6
67450,6
689604,8
689605,10
689606,10
689608,10
689610,10
689710,10
689715,10
689720,10
689725,10
700340,6
700540,6
700840,6
704240,6
704340,6
704440,6
704540,6
705015,6
705530,6
705930,6
706300,6
706400,6
706415,6
706416,6
706418,6
706422,6
706425,6
706430,6
706435,6
706440,6
706445,6
706450,6
706455,6
706460,6
706510,7
706512,7
706515,7
706516,7
706518,7
706520,7
706522,7
706525,7
706530,7
706535,7
706540,7
706545,7
706550,7
706900,6
708000,6
708801,6
723540,8
757800,4
757900,6
757910,6
758100,6
758300,6
758600,6
777800,4
778200,6
778400,4
778500,4
779600,4
783500,6
783908,4
784208,4
784210,6
784212,6
784300,4
784400,4
784500,6
784600,4
784800,4
784900,6
789540,8
89500,6
89510,6
89530,6
89560,6
89600,6
90690,4
91000,4
91700,4
92090,4
92100,6
922910,6
92300,4
92400,4
928420,4
928430,6
928440,6
928460,6
929300,6
981000,6
982340,6
