SKU,Qty
2030365,5
2070110,15
2071010,0
2260112,2
2260160,0
2333110,2
2333120,1
2342167,39
2342475,0
2347120,5
2347180,4
2347190,6
2351113,6
2351132,3
2351152,4
2351165,4
2351170,4
2351661,4
2352040,3
3400257,10
3402022,4
3404553,3
3405075,1
3405451,5
3405730,45
3405736,48
3408017,9
3408035,12
3408300,2
3410310,0
3410365,3
3410382,4
3410502,1
3410506,1
3410581,4
3410642,3
3410805,0
3410866,0
3410920,1
3410930,1
3410940,5
3411172,16
3411197,10
3411212,12
3413054,0
3413155,22
3413230,7
3413246,1
3413266,5
3413275,1
3414114,41
3415410,5
3420604,2
3424050,0
3424051,1
3425220,4
3425240,7
3431060,1
3433370,7
3433532,1
3433630,6
3437100,2
4007332,2
4132741,-3
4139087,0
4140135,1
4140740,0
4140760,1
4152535,0
4152551,0
4170682,2
4180400,0
4180440,7
4181500,0
4257990,1
4258237,0
4258508,7
4258621,0
4258682,0
4259930,0
4259955,0
4259960,3
4259980,0
4260005,0
4260010,0
4260015,0
4260020,2
4260025,6
4300295,5
4300370,2
4300380,3
4300395,1
4300805,1
4321135,2
4321157,0
4321209,19
4321228,0
4321265,1
4326300,15
4326310,4
4331005,2
4340450,4
4340510,7
4340515,2
4345400,0
4345405,6
4350410,5
4350412,15
4350490,0
4350740,-1
4418008,2
4419169,12
4419360,5
4430880,0
4430971,20
4430977,0
4431051,3
4460560,0
4460640,3
4460720,0
4460725,4
4461000,5
4462010,2
4465170,7
4465185,2
4466154,0
4466260,0
4466270,2
4500067,1
4502118,0
4510030,0
4510034,2
4510040,0
4510070,0
4510080,1
4510151,0
4511437,13
4511489,126
4511501,3
4511618,1
4511627,6
4511629,12
4512042,118
4512097,286
4512103,2
4512112,75
4512114,24
4512143,30
4512159,1
4513442,10
4513660,2
4513812,4
4513830,1
4513846,7
4513896,9
4513925,14
4513935,0
4513939,10
4513940,0
4513942,-3
4513957,0
4513960,2
4513970,0
4513990,2
4513992,7
4514114,0
4514120,13
4514130,3
4514145,0
4514150,38
4514155,14
4514172,3
4514220,4
4514260,2
4514265,4
4514290,7
4530054,2
4530074,10
4540011,47
4540012,4
4540013,11
4540014,5
4540019,2
4540020,1
4540040,4
49108801,3
49455250,0
49491005,0
49491006,6
49491065,0
49491066,0
49491075,3
49492074,0
49492874,4
49568315,1
49587861,0
49589341,0
49589351,0
49708750,1
49758941,8
49910805,1
49914605,2
