SKU,Qty
100300,1
100400,1
100715,2
100730,1
100820,0
105000,1
105210,2
108759,1
11890,1
119390,2
120940,1
12100,1
142400,1
143100,6
143200,13
14920,2
16620,2
20300,2
2030365,3
20310,1
2071010,1
2260112,13
2260160,1
2332330,1
2332351,1
2342167,80
2342460,1
2342475,1
2347120,2
2347160,1
2347180,13
2347190,6
2351113,6
2351132,7
2351152,1
2351170,2
2351185,1
2351190,1
2351661,1
248920,1
258610,2
258670,1
258680,1
258819,1
292500,10
292600,2
304515,1
304615,1
314426,1
3400257,3
3403340,1
3404553,1
3405075,2
3405485,1
3405730,1
3405736,3
3405930,3
3408035,4
3408300,9
3410502,1
3410866,1
3410940,1
3411172,2
3411197,1
3411212,1
3413155,2
3413246,1
3414114,39
3415410,3
3424050,1
3425220,2
3425240,1
3430330,1
3430400,2
3430635,1
3437100,5
3437110,1
4020415,1
4020467,3
4132741,1
4140740,1
4173771,2
4181500,1
421102,1
4257990,1
4258237,1
4258508,5
4258682,1
4259960,1
4260015,1
4260020,1
4300295,10
4300370,10
4300380,4
4300395,1
4300805,2
4300877,5
4309047,2
4312110,3
4321209,1
4326180,1
4326300,9
4326310,1
4331005,1
4331207,0
4331225,5
4340450,1
4340515,1
4345400,1
4345405,2
4350410,7
4350412,1
4350490,1
4350630,1
4418008,5
4419169,3
4419360,6
443004,1
443006,1
4430880,1
4430971,10
4430977,1
4431160,1
444300,2
4464255,1
4465170,7
4466154,4
4466260,2
4466270,2
4499910,1
4500067,3
4500076,3
4501761,1
4502118,1
4510034,6
4510070,1
4511437,19
4511489,55
4511501,6
4511600,1
4511618,1
4511627,28
4511629,3
4512042,22
4512097,109
4512103,4
4512112,3
4512114,8
4512143,8
4512159,2
4513442,1
4513660,1
4513925,3
4513939,3
4513940,2
4513942,2
4513970,2
4513995,1
4514114,1
4514120,18
4514130,2
4514155,57
4514160,1
4514172,2
4514220,4
4514265,4
4514290,5
4514320,1
4520592,1
4522170,2
4522250,1
4530054,2
4530074,7
4540011,1
4540012,6
4540014,1
4540020,0
4540040,4
4609990,1
4609991,3
485410,1
485420,2
494500,2
49455250,1
494600,2
494900,3
49492874,1
495000,1
49568315,2
49758941,1
511472,0
511473,1
511474,3
511476,2
511477,1
511904,3
511908,1
512004,2
512450,1
513103,1
513105,1
513903,5
513905,2
51600,1
52630,1
52650,1
52660,2
530300,2
557900,3
576090,1
599500,1
605030,2
61400,1
62500,2
626260,4
626265,1
65800,2
669215,2
67250,2
67300,1
67430,4
67450,6
689604,1
689608,1
689715,3
705530,1
706415,1
706510,1
706516,2
706518,1
706520,1
706522,2
706525,1
757900,5
758100,2
778400,4
778500,1
779600,2
783500,2
783908,1
784208,3
784210,3
784212,3
784400,2
784600,2
784800,1
784900,5
790540,1
795726,1
89500,5
89510,14
89530,15
89560,1
90690,1
91000,1
91700,1
92100,1
922910,1
928420,8
929300,0
982340,2
